entry,address_city,address_code,first_entry_date,krs,legal_form,name,name_short,nip,regon,industriesR,industriesN,ceo_name,industriesJ,industriesM,industriesP,industriesL,industriesC,industriesG,industriesK,industriesF,industriesH,industriesI,industriesS,industriesQ,nazwa_jednostki,kwota_wsparcia
Elektroakustyka,Bielawa,58-260,2020-04-09,836936,SPÓŁKA KOMANDYTOWA,ZAKŁAD ELEKTROAKUSTYKI PROFESJONALNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,ZAKŁAD ELEKTROAKUSTYKI PROFESJONALNEJ,5210129145.0,12134286.0,,,,,,,,,True,,,,,,,Elektroakustyka,6300
Elektroakustyka,Bielawa,58-260,2019-10-01,806698,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZAKŁAD ELEKTROAKUSTYKI PROFESJONALNEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZAKŁAD ELEKTROAKUSTYKI PROFESJONALNEJ,8822133487.0,384534445.0,,,Krzysztof Dominik Lubiński,,,,,,True,,,,,,,Elektroakustyka,6300
Elektroakustyka,Bielawa,58-260,2001-11-19,62130,SPÓŁKA JAWNA,ZAKŁAD ELEKTROAKUSTYKI PROFESJONALNEJ LUBIŃSKI SPÓŁKA JAWNA,ZAKŁAD ELEKTROAKUSTYKI PROFESJONALNEJ LUBIŃSKI,5210129145.0,12134286.0,,,,,,,,,True,,,,,,,Elektroakustyka,6300
Event,Luzino,84-242,2017-08-25,691900,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,EVENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,EVENT,5882431169.0,368095350.0,,,Witold Bojek,,,,,,,,,,True,,,Event,23825
Event,Warszawa,02-486,2013-01-21,448047,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,JOY EVENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,JOY EVENT,7010365238.0,146515219.0,,True,Tomasz Nowak,,,,,,,,,,,,,Event,23825
Event,Poznań,60-594,2015-12-30,594889,FUNDACJA,EVENT CULTURE,EVENT CULTURE,7811921134.0,363381400.0,,,Ewa Murawska,,,,,,,,,,,,,Event,23825
Event,Warszawa,00-120,2003-10-08,175190,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"""EVENT."" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",EVENT.,5242907769.0,387199792.0,,True,Łukasz Wierzbicki,,,,,,,,,,,,,Event,23825
Event,Słupca,62-400,2016-03-15,607671,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,EVENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,EVENT,6671768091.0,363960693.0,True,,Monika Bylewska,,,,,,,,,,,,,Event,23825
Event,Warszawa,01-926,2020-10-20,864972,STOWARZYSZENIE,JUST SPORT EVENT,JUST SPORT EVENT,1182215071.0,387352710.0,,,Mateusz Kasprzak,,,,,,,,,,,,,Event,23825
Event,Węgierska Górka,34-350,2017-04-12,673400,FUNDACJA,FUNDACJA FOR EVENT,FUNDACJA FOR EVENT,5532535690.0,367032168.0,,,Marcin Paweł Matuszny,,,,,,,,,,,,,Event,23825
Event,Marki,05-270,2009-02-27,324664,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MEGA EVENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,MEGA EVENT,9522067686.0,141728790.0,,,Katarzyna Sezen Migryt,,True,,,,,,,,,,,Event,23825
Event,Gdańsk,80-244,2020-02-10,827517,SPÓŁDZIELNIA,SPÓŁDZIELNIA SOCJALNA EVENT CLUB,SPÓŁDZIELNIA SOCJALNA EVENT CLUB,9571122190.0,385533844.0,True,,Mieczysław Eugeniusz Braszka,,,,,,,,,,,,,Event,23825
Event,Kielce,25-663,2017-07-18,687233,SPÓŁDZIELNIA,SPÓŁDZIELNIA SOCJALNA VIDEO - EVENT,SPÓŁDZIELNIA SOCJALNA VIDEO - EVENT,9591992103.0,367811553.0,,,Marcin Jarosław Jedliński,True,,,,,,,,,,,,Event,23825
Event Studio Kowalewski Breś spółka jawna,Lublin,20-035,2006-03-01,252085,SPÓŁKA JAWNA,"""EVENT STUDIO KOWALEWSKI BREŚ SPÓŁKA JAWNA""",EVENT STUDIO KOWALEWSKI BREŚ,9462487053.0,60114518.0,,,,,,,,,,,,,,,,Event Studio Kowalewski Breś spółka jawna,108387
EVENTIM SPOŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Warszawa,00-508,2004-08-02,213454,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,EVENTIM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,EVENTIM,5262774751.0,15765917.0,,True,,,,,,,,,,,,,,EVENTIM SPOŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,664500
EVENTS FACTORY SPOLEČNOST Z RUČENÍM OMEZENÍM SPÓŁKA KOMANDYTOWO-AKCYJNA,Wrocław,50-020,2012-09-07,432331,SPÓŁKA KOMANDYTOWO-AKCYJNA,EVENTS FACTORY SPOLEČNOST Z RUČENÍM OMEZENÍM SPÓŁKA KOMANDYTOWO- AKCYJNA,EVENTS FACTORY SPOLEČNOST Z RUČENÍM OMEZENÍM,8961531576.0,21955375.0,,,,,,,,,,,,,True,,,EVENTS FACTORY SPOLEČNOST Z RUČENÍM OMEZENÍM SPÓŁKA KOMANDYTOWO-AKCYJNA,10435
Fabryka Sztuki,Poznań,61-809,2009-01-15,321397,FUNDACJA,FABRYKA SZTUKI,FABRYKA SZTUKI,7781461595.0,301058156.0,,,Agnieszka Katarzyna Mazur,,,,,,,,,,,,,Fabryka Sztuki,92300
Fabryka Sztuki,Warszawa,,2002-12-02,141161,STOWARZYSZENIE,STOWARZYSZENIE FABRYKA SZTUKI,STOWARZYSZENIE FABRYKA SZTUKI,5342213730.0,15318087.0,,,,,,,,,,,,,,,,Fabryka Sztuki,92300
Fabryka Sztuki,Łódź,91-496,2008-06-02,307257,STOWARZYSZENIE,STOWARZYSZENIE FABRYKA TAŃCA I SZTUKI,STOWARZYSZENIE FABRYKA TAŃCA I SZTUKI,7262590182.0,100530083.0,,,,,,,,,,,,,,,,Fabryka Sztuki,92300
FENIX SZTUKA ILUZJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Łódź,90-521,2017-03-27,670519,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,FENIX SZTUKA ILUZJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,FENIX SZTUKA ILUZJI,7252190707.0,366879431.0,True,,Jerzy Jakub Buczyński,,,,,,,,,,,,,FENIX SZTUKA ILUZJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,10596
Filharmonia Dolnośląska w Jeleniej Górze,Jelenia Góra,58-500,2010-04-09,353648,ZWIĄZEK ZAWODOWY,ZWIĄZEK ZAWODOWY PRACOWNIKÓW FILHARMONII DOLNOŚLĄSKIEJ W JELENIEJ GÓRZE,ZWIĄZEK ZAWODOWY PRACOWNIKÓW FILHARMONII DOLNOŚLĄSKIEJ W JELENIEJ GÓRZE,,,,,,,,,,,,,,,,,,Filharmonia Dolnośląska w Jeleniej Górze,280000
Filharmonia im. Karola Szymanowskiego w Krakowie,Kraków,31-103,2009-07-15,333243,ZWIĄZEK ZAWODOWY,ZWIĄZEK ZAWODOWY PRACOWNIKÓW PAŃSTWOWEJ FILHARMONII IM. KAROLA SZYMANOWSKIEGO W KRAKOWIE,ZWIĄZEK ZAWODOWY PRACOWNIKÓW PAŃSTWOWEJ FILHARMONII IM. KAROLA SZYMANOWSKIEGO W KRAKOWIE,,351447829.0,,,,,,,,,,,,,,,,Filharmonia im. Karola Szymanowskiego w Krakowie,679548
Filharmonia im. Mieczysława Karłowicza w Szczecinie,Szczecin,70-515,2014-04-25,507278,ZWIĄZEK ZAWODOWY,ZWIĄZEK ZAWODOWY PRACOWNIKÓW FILHARMONII IM. MIECZYSŁAWA KARŁOWICZA W SZCZECINIE,ZWIĄZEK ZAWODOWY PRACOWNIKÓW FILHARMONII IM. MIECZYSŁAWA KARŁOWICZA W SZCZECINIE,8513193184.0,363760439.0,,,,,,,,,,,,,,,,Filharmonia im. Mieczysława Karłowicza w Szczecinie,854700
Filharmonia Poznańska im. Tadeusza Szeligowskiego,Poznań,61-808,2011-06-03,388208,ZWIĄZEK ZAWODOWY,ZWIĄZEK ZAWODOWY ARTYSTÓW MUZYKÓW INSTRUMENTALISTÓW DĘTYCH BLASZANYCH PRZY FILHARMONII POZNAŃSKIEJ IM. TADEUSZA SZELIGOWSKIEGO,ZWIĄZEK ZAWODOWY ARTYSTÓW MUZYKÓW INSTRUMENTALISTÓW DĘTYCH BLASZANYCH PRZY FILHARMONII POZNAŃSKIEJ IM. TADEUSZA SZELIGOWSKIEGO,,,,,,,,,,,,,,,,,,Filharmonia Poznańska im. Tadeusza Szeligowskiego,543214
Filharmonia Poznańska im. Tadeusza Szeligowskiego,Poznań,61-808,2011-05-11,385795,ZWIĄZEK ZAWODOWY,ZWIĄZEK ZAWODOWY ARTYSTÓW MUZYKÓW INSTRUMENTALISTÓW DĘTYCH DREWNIANYCH PRZY FILHARMONII POZNAŃSKIEJ IM. TADEUSZA SZELIGOWSKIEGO W POZNANIU,ZWIĄZEK ZAWODOWY ARTYSTÓW MUZYKÓW INSTRUMENTALISTÓW DĘTYCH DREWNIANYCH PRZY FILHARMONII POZNAŃSKIEJ IM. TADEUSZA SZELIGOWSKIEGO W POZNANIU,,,,,,,,,,,,,,,,,,Filharmonia Poznańska im. Tadeusza Szeligowskiego,543214
FOLLOW THE STEP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Warszawa,00-375,2017-02-16,663978,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,FOLLOW THE STEP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,FOLLOW THE STEP,5252699433.0,366578758.0,True,,Marcin Szymanowski,,,,,,,,,,,,,FOLLOW THE STEP SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,2000000
For Jazz,Warszawa,00-545,2009-11-03,340826,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,"""FOR JAZZ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",FOR JAZZ,5260201726.0,12070994.0,,,Paweł Stanisław Brodowski,True,,,,,,,,,,,,For Jazz,48000
FOS DESIGN spółka z ograniczoną odpowiedzialnością,Kraków,30-709,2019-04-19,783143,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,FOS DESIGN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,FOS DESIGN,6793183612.0,383164064.0,,,,,,,,True,,,,,,,,FOS DESIGN spółka z ograniczoną odpowiedzialnością,170000
FOURCE ENTERTAINMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Warszawa,00-020,2017-01-27,660911,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,FOURCE ENTERTAINMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,FOURCE ENTERTAINMENT,5223082523.0,366446488.0,True,,,,,,,,,,,,,,,FOURCE ENTERTAINMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,407164
"Fundacja ""Artystyczna Fama""",Białystok,15-269,2014-08-27,521129,FUNDACJA,"FUNDACJA ""ARTYSTYCZNA FAMA""","FUNDACJA ""ARTYSTYCZNA FAMA""",9662094128.0,200884091.0,,,Anna Kisielewska,,,,,,,,,,,,,"Fundacja ""Artystyczna Fama""",8900
"Fundacja ""Dla Ciebie""",Warszawa,04-689,2003-09-22,174023,FUNDACJA,"FUNDACJA ""DLA CIEBIE""","FUNDACJA ""DLA CIEBIE""",9521927916.0,15563763.0,,,Anna Cholińska,,,,,,,,,,,,,"Fundacja ""Dla Ciebie""",8260
"Fundacja ""Dla Ciebie""",Małe Rudy,89-200,2016-09-19,637722,FUNDACJA,FUNDACJA DLA CIEBIE,FUNDACJA DLA CIEBIE,5581864695.0,365425484.0,,,Joanna Perszon,,,,,,,,,,,,,"Fundacja ""Dla Ciebie""",8260
"Fundacja ""Dla Ciebie""",Rzeszów,35-205,2014-01-28,495981,FUNDACJA,"""FUNDACJA DLA CIEBIE""",FUNDACJA DLA CIEBIE,5170364850.0,181073085.0,,,,,,,,,,,,,,,,"Fundacja ""Dla Ciebie""",8260
"Fundacja ""Dla Ciebie""",Częstochowa,42-207,2020-02-20,830056,FUNDACJA,FUNDACJA SYNERGIA DLA CIEBIE,FUNDACJA SYNERGIA DLA CIEBIE,9492242190.0,385602054.0,,,Mariusz Bartłomiej Kowasz,,,,,,,,,,,,,"Fundacja ""Dla Ciebie""",8260
"Fundacja ""Dla Ciebie""",Łódź,90-418,2012-01-30,408454,FUNDACJA,"FUNDACJA ""PRAWNIK DLA CIEBIE""","FUNDACJA ""PRAWNIK DLA CIEBIE""",7252058296.0,101378364.0,,,Grzegorz Krzysztof Frajman,,,,,,,,,,,,,"Fundacja ""Dla Ciebie""",8260
"Fundacja ""Dla Ciebie""",Drzewce Kolonia,24-150,2010-01-20,346939,FUNDACJA,"FUNDACJA ""PRZESTRZEŃ DLA CIEBIE""","FUNDACJA ""PRZESTRZEŃ DLA CIEBIE""",,,,,Małgorzata Beata Kotowska,,,,,,,,,,,,,"Fundacja ""Dla Ciebie""",8260
"Fundacja ""Dla Ciebie""",Legnica,59-220,2006-12-04,269078,FUNDACJA,"FUNDACJA ""JESTEM DLA CIEBIE""","FUNDACJA ""JESTEM DLA CIEBIE""",6912357976.0,20422062.0,,,Robert Bolesław Turzyniecki,,,,,,,,,,,,,"Fundacja ""Dla Ciebie""",8260
"Fundacja ""Dla Ciebie""",Olsztyn,10-900,2015-05-15,558254,FUNDACJA,"FUNDACJA ""PRZYSZŁOŚĆ DLA CIEBIE""","FUNDACJA ""PRZYSZŁOŚĆ DLA CIEBIE""",7393875175.0,361531278.0,,,Joanna Katarzyna Borkowska,,,,,,,,,,,,,"Fundacja ""Dla Ciebie""",8260
"Fundacja ""Dla Ciebie""",Poznań,60-748,2013-10-23,481719,FUNDACJA,"FUNDACJA ""SZTUKA DLA CIEBIE""","FUNDACJA ""SZTUKA DLA CIEBIE""",7831706108.0,302572375.0,,,Joanna Marta Buczak,,,,,,,,,,,,,"Fundacja ""Dla Ciebie""",8260
"Fundacja ""Dla Ciebie""",Bydgoszcz,85-231,2006-07-20,260458,FUNDACJA,"FUNDACJA ""ZDROWIE DLA CIEBIE""","FUNDACJA ""ZDROWIE DLA CIEBIE""",9532526954.0,340197574.0,,,Krystyna Kopa,,,,,,,,,,,,,"Fundacja ""Dla Ciebie""",8260
"FUNDACJA ""KLANCYK""",Warszawa,02-619,2015-06-16,563159,FUNDACJA,"FUNDACJA ""KLANCYK""","FUNDACJA ""KLANCYK""",5223032123.0,361782224.0,,,Maciej Jan Buchwald,,,,,,,,,,,,,"FUNDACJA ""KLANCYK""",95231
"Fundacja ""Klinika Kultury""",Sopot,81-732,2013-04-30,457415,FUNDACJA,"FUNDACJA ""KLINIKA KULTURY""","FUNDACJA ""KLINIKA KULTURY""",5851466362.0,221874914.0,,,Ida Dagmara Bocian,,,,,,,,,,,,,"Fundacja ""Klinika Kultury""",46200
"Fundacja ""Kultura nie boli""",Warszawa,02-503,2012-10-23,437224,FUNDACJA,"FUNDACJA ""KULTURA NIE BOLI""","FUNDACJA ""KULTURA NIE BOLI""",5213639154.0,146359937.0,,,Anna Agata Król,,,,,,,,,,,,,"Fundacja ""Kultura nie boli""",41000
"Fundacja ""Pro Cello""",Poznań,60-195,2007-11-12,292242,FUNDACJA,"FUNDACJA ""PRO CELLO""","FUNDACJA ""PRO CELLO""",,,,,Tomasz Lisiecki,,,,,,,,,,,,,"Fundacja ""Pro Cello""",63530
"Fundacja ""Pro Posnania""",Poznań,61-689,2002-08-22,126984,FUNDACJA,"FUNDACJA ""PRO POSNANIA""","FUNDACJA ""PRO POSNANIA""",,634381675.0,,,Artur Piotrowski,,,,,,,,,,,,,"Fundacja ""Pro Posnania""",72434
"Fundacja ""REPERCUSSION""",Wrocław,53-128,2011-05-10,385745,FUNDACJA,"""FUNDACJA REPERCUSSION""",FUNDACJA REPERCUSSION,8992720657.0,21546926.0,,,Jacek Józef Muzioł,,,,,,,,,,,,,"Fundacja ""REPERCUSSION""",35213
"Fundacja ""Szafa Kultury""",Warszawa,00-538,2013-01-11,442800,FUNDACJA,"FUNDACJA ""SZAFA KULTURY""","FUNDACJA ""SZAFA KULTURY""",7010366031.0,146497869.0,,,Radosław Szymon Mazur,,,,,,,,,,,,,"Fundacja ""Szafa Kultury""",21000
"Fundacja ""Teatr Układ Formalny""",Wrocław,54-206,2016-10-20,643015,FUNDACJA,"FUNDACJA ""TEATR UKŁAD FORMALNY""","FUNDACJA ""TEATR UKŁAD FORMALNY""",8943087237.0,365685564.0,,,Piotr Torchała,,,,,,,,,,,,,"Fundacja ""Teatr Układ Formalny""",81000
FUNDACJA ALICJI WĘGORZEWSKIEJ-WHISKERD STARTSMART,Warszawa,02-797,2008-06-27,309224,FUNDACJA,FUNDACJA ALICJI WĘGORZEWSKIEJ-WHISKERD STARTSMART,FUNDACJA ALICJI WĘGORZEWSKIEJ-WHISKERD STARTSMART,9512266941.0,141536330.0,,,Alicja Dorota Węgorzewska Whiskerd,,,,,,,,,,,,,FUNDACJA ALICJI WĘGORZEWSKIEJ-WHISKERD STARTSMART,225701
Fundacja Ambasad Kultury i Sztuki,Chorzów,41-500,2017-02-14,663061,FUNDACJA,"FUNDACJA ""AMBASADA KULTURY I SZTUKI""","FUNDACJA ""AMBASADA KULTURY I SZTUKI""",6272749287.0,366561143.0,,,Ewelina Julia Tabaka,,,,,,,,,,,,,Fundacja Ambasad Kultury i Sztuki,10750
Fundacja ANIMEA,Warszawa,04-967,2016-10-25,643870,FUNDACJA,FUNDACJA ANIMEA,FUNDACJA ANIMEA,9522152802.0,365714053.0,,,Żaneta Agnieszka Sławińska Zdunik,,,,,,,,,,,,,Fundacja ANIMEA,75300
Fundacja Apetyt na Kulturę,Warszawa,02-579,2006-12-06,269051,FUNDACJA,FUNDACJA APETYT NA KULTURĘ,FUNDACJA APETYT NA KULTURĘ,5213417169.0,140793957.0,,,Danuta Elżbieta Błażejczyk,,,,,,,,,,,,,Fundacja Apetyt na Kulturę,74150
Fundacja Ars Cameralis - Krakowska Opera Kameralna,Kraków,31-055,2004-04-07,202829,FUNDACJA,FUNDACJA ARS CAMERALIS - KRAKOWSKA OPERA KAMERALNA,FUNDACJA ARS CAMERALIS - KRAKOWSKA OPERA KAMERALNA,6762264700.0,356826684.0,,,Wacław Jankowski,,,,,,,,,,,,,Fundacja Ars Cameralis - Krakowska Opera Kameralna,47375
Fundacja ART,Warszawa,02-673,2008-02-20,299763,FUNDACJA,FUNDACJA ART,FUNDACJA ART,1132708831.0,141320126.0,,,Maria Emilia Reif,,,,,,,,,,,,,Fundacja ART,50000
Fundacja ART,Kraków,30-209,2020-10-21,865647,FUNDACJA,FUNDACJA MWB-ART,FUNDACJA MWB-ART,6772457665.0,387341706.0,,,Marek Bolesław Woźniak,,,,,,,,,,,,,Fundacja ART,50000
Fundacja ART,Wrocław,53-010,2020-05-06,840162,FUNDACJA,FUNDACJA VIVE ART,FUNDACJA VIVE ART,8992879352.0,386011119.0,,,Piotr Ryszard Jastrzębski,,,,,,,,,,,,,Fundacja ART,50000
Fundacja ART,Szczecin,71-837,2020-03-12,834042,FUNDACJA,FUNDACJA ODER ART,FUNDACJA ODER ART,8513247075.0,385801687.0,,,Monika Sawczuk,,,,,,,,,,,,,Fundacja ART,50000
Fundacja ART,Leszno,64-100,2020-01-20,823577,FUNDACJA,FUNDACJA BABY ART,FUNDACJA BABY ART,6972375328.0,385344793.0,,,Martyna Justyńska,,,,,,,,,,,,,Fundacja ART,50000
Fundacja ART,Warszawa,02-915,2017-09-22,696288,FUNDACJA,"""FUNDACJA ART GANG""",FUNDACJA ART GANG,5213795233.0,368341262.0,,,Ylan Anoufa,,,,,,,,,,,,,Fundacja ART,50000
Fundacja ART,Cieklin,38-222,2017-01-10,657654,FUNDACJA,"""FUNDACJA MIMOFON ART""",FUNDACJA MIMOFON ART,6852331802.0,366300885.0,,,Paweł Stanisław Steczkowski,,,,,,,,,,,,,Fundacja ART,50000
Fundacja ART,Nysa,48-300,2015-08-26,569965,FUNDACJA,FUNDACJA ELEMENTUM ART,FUNDACJA ELEMENTUM ART,7532438120.0,362320632.0,,,Jakub Sancakli,,,,,,,,,,,,,Fundacja ART,50000
Fundacja ART,Zakrzewo,62-070,2015-03-19,548824,FUNDACJA,"FUNDACJA ""FLOW ART""","FUNDACJA ""FLOW ART""",7773247781.0,361051259.0,,,Anna Dorna,,,,,,,,,,,,,Fundacja ART,50000
Fundacja ART,Cicha Góra,64-306,2014-11-28,534002,FUNDACJA,FUNDACJA WILLOW ART,FUNDACJA WILLOW ART,7881997591.0,360246653.0,,,Jędrzej Stępak,,,,,,,,,,,,,Fundacja ART,50000
Fundacja Art Industry,Łódź,90-006,2008-10-22,316147,FUNDACJA,"FUNDACJA ""ART INDUSTRY""","FUNDACJA ""ART INDUSTRY""",7251987378.0,100592718.0,,,Maciej Sebastian Werk,,,,,,,,,,,,,Fundacja Art Industry,420000
Fundacja Artysta,Rzeszów,35-312,2017-02-21,664303,FUNDACJA,FUNDACJA ARTYSTA,FUNDACJA ARTYSTA,8133738536.0,366614052.0,,,Kornel Władysław Pieńko,,,,,,,,,,,,,Fundacja Artysta,11782
Fundacja Artysta,Warszawa,01-844,2013-05-22,463265,FUNDACJA,FUNDACJA ODKRYJ ARTYSTĘ,FUNDACJA ODKRYJ ARTYSTĘ,1182092668.0,146719152.0,,,Adam Krzysztof Adamonis Krawczyk,,,,,,,,,,,,,Fundacja Artysta,11782
Fundacja Artysta,Warszawa,00-180,2019-09-12,803147,FUNDACJA,FUNDACJA ARTYŚCI PRZECIW NIENAWIŚCI,FUNDACJA ARTYŚCI PRZECIW NIENAWIŚCI,5252800955.0,384354565.0,,,Dorota Rabczewska Stępień,,,,,,,,,,,,,Fundacja Artysta,11782
Fundacja Artysta,Gdańsk,80-821,2016-12-14,652423,FUNDACJA,FUNDACJA ARTYSTÓW KOLONIA TERAZ,FUNDACJA ARTYSTÓW KOLONIA TERAZ,5833223703.0,366082247.0,,,Robert Piotr Jurkowski,,,,,,,,,,,,,Fundacja Artysta,11782
Fundacja Artysta,Warszawa,01-771,2001-11-06,59686,FUNDACJA,FUNDACJA ARTYSTOM TRZECIEGO WIEKU,FUNDACJA ARTYSTOM TRZECIEGO WIEKU,,12195738.0,,,Wanda Gertruda Czarlińska,,,,,,,,,,,,,Fundacja Artysta,11782
Fundacja Artysta,Katowice,40-048,2019-05-07,783470,FUNDACJA,FUNDACJA POMOCY WSPÓLNEJ ARTYSTÓW,FUNDACJA POMOCY WSPÓLNEJ ARTYSTÓW,6342958442.0,383282881.0,,,Wincenty Krawczyk,,,,,,,,,,,,,Fundacja Artysta,11782
Fundacja Artysta,Katowice,40-750,2014-06-30,514584,FUNDACJA,FUNDACJA WSPIERANIA MŁODYCH ARTYSTÓW,FUNDACJA WSPIERANIA MŁODYCH ARTYSTÓW,,,,,Renata Agata Ignasiak,,,,,,,,,,,,,Fundacja Artysta,11782
Fundacja Artysta,Lubin,59-300,2014-04-16,504003,FUNDACJA,FUNDACJA ZJEDNOCZONYCH ARTYSTÓW FUZJA,FUNDACJA ZJEDNOCZONYCH ARTYSTÓW FUZJA,6922506745.0,22406357.0,,,Dorota Anna Gumienna,,,,,,,,,,,,,Fundacja Artysta,11782
Fundacja Artysta,Kraków,30-103,2005-08-03,238531,FUNDACJA,FUNDACJA ARTYŚCI INNOWACJA-TEORIA,FUNDACJA ARTYŚCI INNOWACJA-TEORIA,6762300494.0,120082835.0,,,Gaweł Gabriel Kownacki,,,,,,,,,,,,,Fundacja Artysta,11782
Fundacja Artysta,Warszawa,02-530,2018-04-17,728011,FUNDACJA,FUNDACJA PROMOCJI ARTYSTÓW I RZEMIOSŁA,FUNDACJA PROMOCJI ARTYSTÓW I RZEMIOSŁA,7010818220.0,369988528.0,,,Alicja Magda Stańska,,,,,,,,,,,,,Fundacja Artysta,11782
Fundacja Artystów Niepełnosprawnych i Pełnosprawnych Jesteś My,Wrocław,54-440,2015-12-10,591308,FUNDACJA,FUNDACJA ARTYSTÓW NIEPEŁNOSPRAWNYCH I PEŁNOSPRAWNYCH - JESTEŚ MY,FUNDACJA ARTYSTÓW NIEPEŁNOSPRAWNYCH I PEŁNOSPRAWNYCH - JESTEŚ MY,8943070314.0,363218284.0,,,Aleksander Edmund Lebiedziński,,,,,,,,,,,,,Fundacja Artystów Niepełnosprawnych i Pełnosprawnych Jesteś My,11000
Fundacja Artystyczna MŁYN,Warszawa,00-405,2007-09-17,288736,FUNDACJA,"FUNDACJA ARTYSTYCZNA ""MŁYN""","FUNDACJA ARTYSTYCZNA ""MŁYN""",7010088282.0,141135890.0,,,Natalia Maria Fijewska Zdanowska,,,,,,,,,,,,,Fundacja Artystyczna MŁYN,20400
"Fundacja artystyczno-eventowa ""Fantazmat""",Bydgoszcz,85-137,2017-11-21,705101,FUNDACJA,"FUNDACJA ARTYSTYCZNO-EVENTOWA ""FANTAZMAT""","FUNDACJA ARTYSTYCZNO-EVENTOWA ""FANTAZMAT""",9532732406.0,368791189.0,,,Mateusz Makowski,,,,,,,,,,,,,"Fundacja artystyczno-eventowa ""Fantazmat""",5134
Fundacja Banina,Warszawa,02-672,2017-05-22,679119,FUNDACJA,FUNDACJA BANINA,FUNDACJA BANINA,7123340381.0,367334165.0,,,Karolina Kaliszuk,,,,,,,,,,,,,Fundacja Banina,33100
Fundacja BARKA,Poznań,61-003,2002-11-05,137089,FUNDACJA,"FUNDACJA POMOCY WZAJEMNEJ ""BARKA""","FUNDACJA POMOCY WZAJEMNEJ ""BARKA""",7821146599.0,1415387.0,,,,,,,,,,,,,,,,Fundacja BARKA,12500
Fundacja BARKA,Olsztyn,10-446,2014-07-01,514027,FUNDACJA,"FUNDACJA INICJATYW SPOŁECZNO - KULTURALNYCH ""BARKA""","FUNDACJA INICJATYW SPOŁECZNO - KULTURALNYCH ""BARKA""",7393868270.0,281605107.0,,,,,,,,,,,,,,,,Fundacja BARKA,12500
Fundacja Bez Wizy,Warszawa,04-357,2011-12-12,404735,FUNDACJA,FUNDACJA BEZ WIZY,FUNDACJA BEZ WIZY,1132852663.0,145917826.0,,,Jacek Jarosław Pacocha,,,,,,,,,,,,,Fundacja Bez Wizy,47000
Fundacja Bielecki Art,Kraków,31-231,2009-11-12,340956,FUNDACJA,FUNDACJA BIELECKI ART,FUNDACJA BIELECKI ART,9452134258.0,121072997.0,,,Krzysztof Henryk Markiel,,,,,,,,,,,,,Fundacja Bielecki Art,60999
Fundacja Burdąg,Pęcice Małe,05-806,2006-09-12,263258,FUNDACJA,FUNDACJA BURDĄG,FUNDACJA BURDĄG,5342410703.0,141699605.0,,,Maria Stokłosa,,,,,,,,,,,,,Fundacja Burdąg,73255
